iter	Logloss
0	0.6806162941
1	0.668908231122	0.657263884233	0.646540773744	0.634918653555	0.625073181866	0.615392649677	0.605828227688	0.597188615599	0.5887737258
10	0.5813476235111	0.5745030881112	0.5684048104113	0.5614693748114	0.5554655698115	0.5494780082116	0.5437268431717	0.5385074451818	0.53343424419	0.525987135
20	20	0.5256172021	21	0.5212230318
22	0.516929442
23	0.5134081607
24	0.5100237793
25	0.5063025011
26	0.5025193849
27	0.4991147695
28	0.4960837576
29	0.4929863612
30	0.4898382366
31	0.486871786
32	0.4841214523
33	0.481381563
34	0.4790158815
35	0.4769048843
36	0.4747772861
37	0.4728370668
38	0.4706173526
39	0.4687684074
40	0.4669007086
41	0.4651384616
42	0.46376973
43	0.4621424648
44	0.4614073964
45	0.4598531604
46	0.4581378639
47	0.4567702258
48	0.4553389351
49	0.453826445
50	0.4525118019
51	0.4512714207
52	0.4499799225
53	0.4488067388
54	0.4475593997
55	0.446396057
56	0.4452937665
57	0.4442441164
58	0.443447499
59	0.4424620469
60	0.4414872753
61	0.4404399787
62	0.4396018548
63	0.4383769533
64	0.4374471132
65	0.4363980652
66	0.4353742759
67	0.4345421941
68	0.4337367798
69	0.432932069
70	0.4322051019
71	0.4314449982
72	0.4306531061
73	0.4299759509
74	0.4293745552
75	0.4287773988
76	0.428196126
77	0.4276101859
78	0.4270572793779	0.4262964911
80	0.4256488317
81	0.424990456
82	0.4244241101
83	0.4238671009
84	0.4233401664
85	0.4228457247
86	0.4223988008
87	0.4218642701
88	0.4213088322
89	0.4208884437
90	0.4204213984
91	0.4198622811
92	0.4193587661
93	0.418768745
94	0.4182650075
95	0.4178555305
96	0.4175994855
97	0.4170157116
98	0.4166543918
99	0.4161564007
100	0.4158787733
101	0.4154146776
102	0.4150481137
103	0.4146783284
104	0.4143972293
105	0.414130543
106	0.4137422497
107	0.4132299807
108	0.4128147731
109	0.4123097513
110	0.4120362447
111	0.4117426346
112	0.4114688712
113	0.4111132153
114	0.4109838154
115	0.410699671
116	0.4103947566
117	0.410090495
118	0.4096386076
119	0.4092173304
120	0.4088823424
121	0.408538531
122	0.4082085679
123	0.4079701396
124	0.4076400279
125	0.4072765
126	0.4070516232
127	0.4067770232
128	0.406573109
129	0.4062512245
130	0130	0.39800131	0.131	0.3977946496
132	0.3974410198
133	0.3971588692
134	0.3968731432
135	0.3965876899
136	0.3963904501
137	0.3960207173
138	0.3957924165
139	0.3955343558
140	0.3952394451
141	0.3950093114
142	0.3947906126
143	0.3945386019
144	0.3943037259
145	0.3939757047
146	0.393667405
147	0.3934196149
148	0.3931848611
149	0.3928604305
150	0.3926980754
151	0.3924432288
152	0.3921815458
153	0.3919680361
154	0.3916751657
155	0.3914696944
156	0.3911776908
157	0.3908670857
158	0.3907322461
159	0.3905357288
160	0.3903612546
161	0.3901203121
162	0.3899505571
163	0.3896444201
164	0.3894854515
165	0.3892798406
166	0.389045016
167	0.3888233508
168	0.3885000009
169	0.3883744367
170	0.3881565351
171	0.3879254103
172	0.3877431189
173	0.3875666098
174	0.3873613216
175	0.3871048174
176	0.386950607
177	0.3867557835
178	0.3864991254
179	0.3862819924
180	0.3861140952
181	0.3859140363
182	0.385686167
183	0.3854520889
184	0.3852938304
185	0.3850829259
186	0.3848690795
187	0.3846953146
188	0.3845408394
189	0.3844239219
190	0.3841954671
191	0.3839908973
192	0.3838319799
193	0.3836853087
194	0.3834261701
195	0.3833010253
196	0.3832031018
197	0.3830906693
198	0.3828174117
199	0.3826041802
200	0.3824998746
201	0.3822825495
202	0.3820913351
203	0.3819376805
204	0.3816657532
205	0.3815583528
206	0.3813373376
207	0.38110726208208	0.38079358209209	0.38067036210210	0.38053213211211	0.38033362212212	0.38018559213213	0.37997556214	0.3839552552
215	0.383920955
216	0.3837955388
217	0.3835934813
218218	0.37923674219	0.3832544921
220	0.3831417118
221	0.3830180919
222	0.3828698092
223	0.3827331163
224	0.3825371793
225	0.3823877286
226	0.382253547
227	0.3820318872
228	0.3817774041
229	0.3816125789
230	0.3813211122
231	0.3811176697
232	0.3809018485
233	0.3806873848
234	0.3805454361
235	0.3804608142
236	0.3802890636
237	0.3801292952
238	0.3800791823
239	0.3798722979
240	0.3797437572
241	0.3796286335
242	0.3795942487
243	0.3793540972
244	0.379332521
245	0.3791931478
246	0.3789938675
247	0.3789045613
248	0.3788622607
249	0.3786472402
250	0.3784212831
251	0.3782630054
252	0.3780750064
253	0.377937305
254	0255	0.372035255	0256	0.371836256	0257	0.371735257	258	0.3715755957
259	0.3715686259	260	0.3714541913
261	0.3712677261	262	0.371108262	0263	0.371045263	264	0.3709450264	265	0.3707884265	266	0.3705904266	267	0.3703923112
268	0.3701076003
269	0.3699266512
270	0.3697052707
271	0.3695799532
272	0.36950041
273	0.3693774954
274	0.3692406755
275	0.3690466141
276	0.3689162276	277	0.3687233277	278	0.3685641278	279	0.3683541549
280	0.3682445484
281	0.3680075281	282	0.3678199717
283	0.3677296414
284	0.3676006793
285	0.3674962882
286	0.3673596634
287	0.3672502545
288	0.3670595639
289	0.3669333515
290	0.3667794290	291	0.3666111798
292	0.3664831292	293	0.3663713293	294	0.3662579294	295	0.3660421295	296	0.3658135296	297	0.3656097903
298	0.3654172562
299	0.3652399791
300	0.365110165
301	0.3650349834
302	0.3649512488
303	0.3648125609
304	0.3646302845
305	0.3644541483
306	0.3642945714
307	0.3640510393
308	0.3639109056
309	0.3637544428
310	0.3636469706
311	0.3635400252
312	0.3633566103
313	0.3632424487
314	0.3630445986
315	0.3628903775
316	0.362800442
317	0.3626904248
318	0.3625644169
319	0.3623117127
320	0.3622299699
321	0.3620367558
322	0.3619066199
323	323	0.3676324324	324	0.3675734325	325	0.3673092687
326	0.3671646327	327	0.3669659328	328	0.3667931329	329	0.3665591330	330	0.366365331	0331	0.3662599367
332	0.3661625066
333	0.3660249737
334	0.3659279235
335	0.3658502929
336	0.3656890722
337	0.3656107394
338	0.3655064539
339	0.3653552891
340	0.3652001542
341	0.3649960823
342	0.3648346055
343	0.3647151472
344	0.3645917514
345	0.3644352309
346	0.3642630608
347	0.3641936771
348	0.3641203985
349	0.3640279794
350	0.3638073576
351	0.3636187419
352	0.3633936778
353	0.36322249773354	0.3631313434
355	0.3630215477
356	0.3628034781
357	0.3627462793
358	0.36273303935359	0.36261195136360	0.36253076536361	0.36247016036362	0.36238178036363	0.362257462364	0.3574373158
365	0.3573379566
366	0.3571489895
367	0.3570105781
368	0.3568303169
369	0.3567359131
370	0.3565663314
3371	0.36123935913372	0.36109058913373	0.36104467463374	0.3608878571
375	0.3607292282
376	0.3606398285
377	0.3604830664
378	0.3603866209
379	0.360245837
380	0.3600311877
381	0.3599360755
382	0.3598109129
383	0.3596019409
384	0.359533385	0385	0.359355386	0386	0.3592474525
387	0.3591335317
388	0.3590801168
389	0.35891390	0390	0.3586667029
391	0.35851392	0.392	0.35834393	0.393	0.35825394	0.394	0.35811395	0.395	0.3579930408
396	0.3578487727
397	0.3577196333
398	0.3575231995
399	0.3574329478
400	0.3572452234
401	0.3571651228
402	0.357079466
403	0.3569096823
404	0.3567997668
405	0.3566958445
406	0.3565285837
407	0.3563127085
408	0.3560279764
409	0.3559454044
410	0.3558428647
411	0.3555739361
412	0.3554135717
413	0.3552825163
414	0.3552090809
415	0.3550235659
416	0.3548334721
417	0.3547057388
418	0.3545427414
419	0.3544521954
420	0.3543462865
421	0.3541990705
422	0.3540790478
423	0.3540070397
424	0.3538768733
425	0.3538099722
426	0.3536344551
427	0.3535454731
428	0.353433524
429	0.3532875606
430	0.3531463525
431	0.3529428833
432	0.3528233391
433	0.3527043721
434	0.3526197488
435	0.3525260091
436	0.352395763
437	0.3522819779
438	0.3521559187
439	0.351948393
440	0.3518235564
441	0.3516648208
442	0.3515875285
443	0.3514462463
444	0.351269896
445	0.3512080925
446	0.3510085931
447	0.3509286894
448	0.3508123213
449	0.3507054465
450	0.3506869009
451	0.3505738181
452	0.3504628206
453	0.3502908476
454	0.3501231479
455	0.3500076303
456	0.3498138168
457	0.3496701324
458	0.3495492293
459	0.3494095555
460	0.3492553023
461	0.349020645
462	0.3488990982
463	0.3487726263
464	0.348693125
465	0.3485795571
466	0.3482969064
467	0.34814438
468	0.3480488972
469	0.3479305506
470	0.3477228127
471	0.3476102982
472	0.3475404699
473	0.347327769
474	0.3472598586
475	0.3471710163
476	0.3470929081
477	0.3469856586
478	0.3468595265
479	0.3467052935
